language;text;class
"en";"Hi, Check out Major Lazer - Cold Water (feat. Justin Bieber &amp; MØ) (Official Lyric Video) on MixerBox: https://t.co/owRiMZ9b8a 10:30.";
"en";"It makes me sick to know i ain't gonna find my chain";
"en";"Never too cold https://t.co/VcDurgSy45";
"en";"The USSR doesn't exist forget the Cold War, it's been over 27 years! Ukrainians and Russians want what we want, to raise their Kids and Live";
"en";"And I'm so sick and tired of them !!! https://t.co/ErA88saobu";
"en";"I hate working sick";
"en";"#Awesomeness #Lovely #Sweet #Winter #Colors #Cold #Weather #Climate #Changing #FamilyTime… https://t.co/24xSSoilZg";
"en";"sick and tired of being sick of tired";
"en";"I can't believe I ate three cold pancakes out of a ziploc bag yesterday";
"en";"I'm at Its cold as a booger!!! in Muscle Shoals, AL https://t.co/pSDsl4PePI";
"en";"How cold is it outside y'all?";
"en";"It's too cold here and I'm freezing to death";
"en";"How is it that I've gotten sick more often living in LA than I ever did in Chicago?";
"en";"Grandad just asked me if I needed a tissue, I'm like no I've not got the cold? 'To rip that thing out ur nose and dry up the blood' 😂😂 OK x";
"en";"My teacher got really sick and we don't gotta go to class. Bless the Lord.";
"en";"@KatherynWinnick so how cold and grueling is filming,and do u get to wear long underwear under ur costumes?";
"en";"*In Sicilian accent* Barber💈: I don't know what da-fuck is going on with this cold weather... maybe it's Obama or the Trump guy.";
"en";"@GHBgolfmind thanks it was cold but very productive! 👍";
"en";"Up to my old tricks in my Crimson UV #briefs from @SUKREW even in the freezing cold #menswear #mensunderwear #nsfw… https://t.co/Mqy1rNqVjf";
"en";"Lmfaooooo I'm sick 😭 https://t.co/uOwKeZr9OZ";
"en";"@MsTeaffany Seems like a lot of people in this area would like it restored... try using a sick day?";
"en";"Since losing this weight I can definitely feel the cold more....I need my padding back....joking! 😂😂";
"en";"@OutnumberedFNC Sick 2 my stomach! People in jail 4 life for smoking marijuana &amp; this traitor w American blood on his hands is free? WHAT???";
"en";"make the dangerous to democracy democrats give us their tickets hey DEMS going to be a cold 16 years or decades for you scumbags";
"en";"Healthy juice, feeling sick so... time to get better! @ Commercial–Broadway station https://t.co/30UqWh5PqJ";
"en";"It's forever wild cold in Schenectady";
"en";"Considering two weeks ago I had a cold and had lost my voice, the difference in how I feel, simply by eating clean is remarkable.";
"en";"Whoever's idea it was to make cauliflower rice, should be punched in the head along with their children. #lunch #whyร้าย #sick";
"en";"sick of the bullshit";
"en";"I was super super sick yesterday and stayed in bed all damn day. This flu going around is no fucking joke man.";
"en";"Still sick 😷and officially starting #theyoungpope 👶🏻⛪️so far all I can report is that there's nudity and Jude Law's ass is looking 👌🏻";
"en";"i hate being sick 😭";
"en";"Ima grown man 😭🤣😭 niga cnt eat a cold sandwich 🍞😭🤣 https://t.co/R34lcJbcak";
"en";"The other day I said that I hadn't gotten sick in years... and I didn't knock on wood. Now here I am sicker than ever before. NEVER AGAIN!";
"en";"I'm too cold for my train to be delayed";
"en";"Fiona is so dumb and annoying. Does she die off the show? Cause I'm sick of her at this point";
"en";"the school nurses are legit pissing themselves over the snl cold open of trumps press conference in crying (piss pun intended)";
"en";"Force feeding when you're sick is the worst thing ever.";
"en";"Anti-Trump Protesters Now Coughing On People In Restaurants https://t.co/J8xn1xdVXv via @dailycallerthey cough on tmac 15 the'll be stomp'";
"en";"I'm getting sick. 🙁";
"en";"OMG first time I had a serious FEVER 😔 🤒 😩 lucky a little dude was down his 2nd time FEVER 😩 nope not fair⁉️ #mommytweet #momlife";
"en";"I hate being sick and having a migrane that restricts you from any type of movement";
"en";"should car dealerships be cold calling peoples cell phone with automated messages?";
"en";"So sad my dachshund is sick, he can barely open his little eyes 💔😞";
"en";"@haileywoodman you did end up getting a new dog after all 😂 puppy fever";
"en";"Really hope I get over being sick before I head back to work on Friday.";
"en";"Kinda over this cold weather :(";
"en";"@HouseDemocrats Still don't understand, Trump won because we are sick of babies running our country. You are just r… https://t.co/HVs9VQCkFc";
"en";"Nigga can't eat a fucking a sandwich cold https://t.co/WelxxGnwqp";
"en";"I always stay cold";
"en";"@SusanSziborra da mach ich mal mit :'( #krank";
"en";"It pays to be well! Look at what I just won - a hot &amp; cold massager with 9 attachments - 1st… https://t.co/pl8zUGXSsL";
"en";"@DunkinDem9 the smoked butterscotch cold from Starbucks is 🔥🔥🔥";
"en";"@OutnumberedFNC @ChrisStirewalt I love what @MeghanMcCain just said about Petraeus. This makes me sick to my stomach + the terrorists freed!";
"en";"Cold and rainy are the worst days";
"en";"Got a jacket on but still cold";
"en";"@megdayx you need a cold shower";
"en";"This Cold and Flu is No Joke, I went a Entire year without getting sick! #sheesh #stillhaveworktodo";
"en";"The golden days were when I used to finesse my way home from school by pretending I was sick in the nurses office";
"en";"My teacher played Gucci while we were doing our in class assignment. You could say it was cold. #Burrrr #justkishthings";
"en";"Whoever got me sick can catch these hands";
"en";"I guess my friend's life will go on while I spend the rest of mine in bed with this flu that doesn't want to go away.";
"en";"@_KingBreeze why the fuck you ain't eat it cold? 😭😭😭😭😭😭";
"en";"Some cold care tea to settle my stomach! My favorite coffee mug... @ Adler Lewis ESQ https://t.co/7xznYQjyRH";
"en";"Sick to death of all this shit recently";
"en";"am i the only one who gets boat sick?";
"en";"'Why the fuck you ain't eat it cold??? Tf wrong witchu?' 😭😂😩 https://t.co/xBtcN3ZBwM";
"en";"Chico is not a cold weather dog! https://t.co/Fxn1SoPUma";
"en";"A high goal should be equanimity. Practice non-judgement. Cultivate feeling heat and cold as the same. Gold and dirt as having same value";
"en";"Because I'm sick the only thing I want to do is sleep";
"en";"I don't know about you but when I say I'm sore and sick, that means it's total bed rest and I can barely move";
"en";"@snitchblade @swampxrot that's sick he gets mad pussy";
"en";"Asshole thug @ArvindKejriwal hardly wear muffler and his #aap topi even the weather is so cold now days.could any aapiya explain this #delhi";
"en";"I don't know about you but when I say I'm sore and sick, that means it's total bed rest and I can't barely move";
"en";"Tell this friend, yes. You don't want said dog to get canine influenza. Also, I did not Google that. I am a certifi… https://t.co/1zJXsuFIpr";
"en";"Home sick 🤒🤒🤒";
"en";"Haven't had anything but crackers in the past two and a half days, and I've lost six pounds. Being sick is not the business 🙅🏻";
"en";"@CraftBeerHour @Vibrant_Forest everyone's sick of Dryanuary, I know I am.";
"en";"#SisterWives.. it is more than past time this show leaves TV. I'm sick of them &amp; their bullshit. Please, Kody is an asshole pig!";
"en";"So cold😩❄️";
"en";"I've been sick for 3 days and I've managed to infect 2 people I'm such an asshole";
"en";"sick of fucking average hoes 🙄 i need a foreign bitch 🇧🇷 im talking thick asf ain't neva onnat boring shit 🍑💦😎";
"en";"i feel so sick i just want to go home☹️";
"en";"I don't care how old I am, when I'm sick, all I want is my mom.";
"en";"There was this long queue waiting in the cold and them jerks were busy gossiping and talking to their gfs . bloody kanjers";
"en";"Cold but clear tonight @TowerOfLondon as I prepare for another guided walk. https://t.co/OWGW9DWly7";
"en";"IM SICK OF SAYING ITS COLD AS HELL";
"en";"Update: van life is cold...";
"en";"I'm still Leepy my kid is at home sick bothering my last nerve, time is moving so slow &amp; I'm only half way through my damn shift ugh";
"en";"@gothmami when it's hella cold out, yes";
"en";"@e_mcray @shutter_j @daveskoster I have ones hoody, hat, wool gloves and socks, and a scarf. This cold, it's painful to be out long.";
"en";"@WalshFreedom @BernieSanders @RepTomPrice if you drive a vehicle you have to be insured! If you get sick and go to hospital or have a child?";
"en";"@MikelSevere i cant agree with you more. He was living his dream, and living it well. Im so sick for him. He was Final 4 or bust";
"en";"'Why tf can't you eat it cold' 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/h8xugQiIX8";
"en";"Attempting cold oven cake from scratch again...I'm dead serious about getting this cake perfect!!";
"en";"Everytime I tell my mama I'm sick she be freaking out....lmaoooo like I'm 20 years old bro....not a baby🙄💀";
"en";"Freezing cold ❄";
"en";"If you don't like going out in the cold get an electric blanket it makes it 20x harder to leave 😂";
"en";"These nonstop cold sweats are the worst 😰";
"en";"@moira_e_ I like them cold or warm, anyway as long as I'm eating them with my hands";
"en";"And. I'm sick. Thanks, kiddos. 😒 #SApro";
"en";"Forever making a cuppa' and leaving it to long before I drink it. Nobody likes a cold brew! 😩";
"en";"I really hate being sick.";
"en";"Walks at dusk are the best. If a little cold. 🌙🎶⭐ #dusk #sunset #walk #destress #life @… https://t.co/qAvFMBUjyi";
"en";"Bruh its cold out here";
"en";"Sabrina gotta be sick of my shit rn 😂😂 https://t.co/q3pGtW5r7N";
"en";"@Cellocannon @KoolKidJJ oh wow sick";
"en";"As cold as it looks in Reykjavik #ljmuontour https://t.co/jdhyqnVbMP";
"en";"@J_WHODAT_ARDOIN @ArdenKey49 these are sick, where'd you find them?";
"en";"Fuck whoever got me sick 😷 😭🖕🏽🖕🏽";
"en";"Sick of Theresa May constantly stating she wants 'the best possible deal for the UK' ....er as PM that's your bloody job!!#PMQs";
"en";"Sick day which means I'm gonna watch nothing but @KindaFunnyVids and @CWiZombie @RahulKohli13";
"en";"@ChristaWojo I found ur books on ur blog &amp; read some of ur blog entries. I'm going 2 buy 'Sick' It sounds thrilling. Thanks 4 replying.";
"en";"Cold weather doesn't stop these sloots from expressing thier rights to dress like dick mungers";
"en";"I get so cold that I just stand there still for 10 minutes.";
"en";"I hate to feel sick , in fact nobody likes to feel sick 🤢";
"en";"Every time I get sick Franco babies me all the time 😂❤";
"en";"It's cold asl in here";
"en-gb";"There is a pot of tea going cold somewhere @johnroderick";
"en";"So sick and tired of niggas that ain't got nothing, want some of mine No I ain't broke no more, I ran it up, I'm tired of lying";
"en";"Sick at the fact that every Wednesday I have class 10am-5pm";
"en";"I never get sick maybe I'm dying";
"en";"@RestoKay Having only one and the worst one at that..I'd weigh the outcome against the loss of body heat in bed during your cold winters.";
"en";"@Diane_Warren @ddlovato 😭💔 Great Music has no Language Barriers💪🏼 - Stone Cold #asl #Deaf Full Video -… https://t.co/ABHWqY91km";
"en";"@GoBRFCLadies @GoBRFC Enjoy this tonight ladies! Going to be a cold one.";
"en";"@businessinsider His plan's a farce. Typical Republican shell game. The poor &amp; the sick will pay more for less coverage so rich can pay less";
"en";"There's Steve Austin on Pointless, and his photo's on the bottom line, CAUSE STONE COLD SAID SO! https://t.co/NvEF6NC8ot";
"en";"When you get a cold and then remember all those times you were not grateful for an unblocked nose...";
"en";"Cold coffee is pretty much confirmation that I dont have enough time in a day to do shit.";
"en";"It's a cold world";
"en";"So sick of everyone and one sided friendships. I need to stop trying to have friends cause #everyonesucks";
"en";"@sarahblyth @p0stcap and working more especially for poor sick ppl &amp; earning less is not success";
"en";"My coffee is cold someone bring me a flaming hot cup of coffee thanks";
"en";"It is always cold in Hull. Snowed in at Uni one June day. https://t.co/hVn0laFCcW";
"en";"@ZankleNegative1 @Jordan_Severns I will fucking stab you if you get me sick.";
"en";"I'm so sick I'm so dead";
"en";"Being sick the first week of classes is not fun";
"en";"This 3 day fever will be the death of me";
"en";"Nothing like vomiting profusely with a nice fever to start off the new semester :)))";
"en";"My nose gets cold so easily 🤧 #bignoseproblems #rudolph 🔴";
"en";"I'm so cold I want to cry";
"en";"Sick of losing people I love";
"en";"I'm sick today and my supervisor sent me home from work.";
"en";"When your car ain't warm up but you late to work and the heat blowing cold air https://t.co/KQzMXoNrjM";
"en";"@PenelopeRothe I've had to spend a fortune to find some snow and cold weather lol";
"en";"@RealJamesWoods @knkcattle @Vedmak00 Not sorry some asswipe starts coughing on me like that I come up swinging! Disrespect gets disrespect!";
"en";"Me @everyone who's got baby fever https://t.co/obfOdqBWEt";
"en";"I can't come, I'm terribly sick... And so's my wife! https://t.co/F9v98szU4U";
"en";"Coach is cold. https://t.co/ofFOtx4ko1";
"en";"new blogs up about New Year's Eve on the beach, dengue fever and the beautiful Koh Rong Island 🚤 https://t.co/CRghyAz9sj";
"en";"@xo_gin Lol. I know. And I'm already sick of it.";
"en";"i'm sick of all these wiggers in ss";
"en";"My sign is vital, my hands are cold";
"en";"real sick of people that preach peace on the internet non stop like they're high and mighty + treat people like shit in their personal lives";
"en";"Wish my girlfriend wasn't at school so I could take care of her while she's sick....";
"en";"Great day @Davos interviewing CEOs, Politicians and top influencers - despite it being so frikkin cold!! #Davos… https://t.co/o4b1xkLMKh";
"en";"I'm sick for the second time of this month 😤🤢";
"en";"My flow, colder than Russian weather Imma rush ya we living in a cold world that's why I don't… https://t.co/wXr9xzECnF";
"en";"@ViaaKekeTaylor 🤣🤣🤣💀 Lil bruh sick";
"en";"@BroganJay87 Oh my god..... Who tells their child that? That's so cold hearted. I'm sorry sweetie.";
"en";"Shit it's cold... Who decided football should be played in the winter...? #PAFC #ARGLIV #FACup";
"en";"I'm in bed dying with a fever and I'm crying because of how good the movie brother bear is";
"en";"Wtf that's sick https://t.co/9U3lu2P9Ig";
"en";"Bullies make me so sick FCUK https://t.co/Qq70El9wEr";
"en";"My cousin called me to come get more of my cold meds like i told him to take them so he wouldn't make 2 trips 🙄";
"en";"my baby fever is outta control 😩";
"en";"Fuck the cold if we ain't got no snow";
"en";"Wat do u do if u have a 103 degree fever? Do u just let urself die???";
"en";"Now that's fucking sick 👌🏻 https://t.co/XuySeV4wHM";
"en";"I'm staking my vacation time, sick days, and floating holiday time. I plan on using so much of it this year.";
"en";"It's so hot in Miami..I'm honestly missing the cold weather in Chicago, even though I was freeezing my butt and complaining I rather be cold";
"en";"MWNO - Sheila Watt-Cloutier on the lifelong fight to maintain her Indigenous voice - The Right to Be Cold is an… https://t.co/BdFmktOCWk";
"en";"@brentsobleski I'll pass I'm sick of qbs cut from other teams, being the browns savior";
"en";"@KirkMasonWWMT fresh water, pine trees, fresh cut grass, cold winter snow, fall leaves, new spring flowers, warm sand and water...beachy";
"en";"I'm a cold hearted bitch to everyone except for the people I hold close to my heart.";
"en";"Nigga can't even eat a sandwich cold";
"en";"Couldn't ask for more appropriate weather for the #Inauguration on Friday... a cold dreary rain. Mother Nature kno… https://t.co/RasdPc6N1q";
"en";"I don't remember the last time I've actually seen the sun + being sick making me even more tired + trying to impress residents/attendings&lt;&lt;";
"en";"cold thick bitch bring her straight to me😋";
"en";"@AndrewMcCarney I can't do it on a cold Wednesday night in The Olympic Park";
"en";"Why are white people so against pants and jackets when it's cold outside";
"en";"feeling so sick 😣";
"en";"Running back home from Shepherd's Bush underground because it's JUST THAT COLD.";
"en";"@ichliebetrash my hands are cold :-(";
"en";"I think I'm getting the flu 😰😨 everything i eat hurts my stomach and i just feel dizzy idk maybe bc I've changed my diet 😳😰😨 i feel weak";
"en";"@SandClit this is sick g";
"en";"Hooman is sick... I'm watching over him... should be back tomorrow! #blackcat #blackcats #picklesthecat #cat #cats… https://t.co/vwocf9p6h0";
"en";"It's cold af in this building 🙄and outside";
"en";"Preparing Outdoor Plants for the Cold Weather https://t.co/w6W418xZcK";
"en";"Okay so it's cold &amp; rainy and I'm walking to class &amp; out of no where this car drives by and splashes water all over me. My whole left side";
"en";"I haven't been able to lift in a week because I've been sick and I cannot tell you how excited I am to hit arms after class today";
